#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 48.59375, 6
16.13, 15.75, 15.85, 21.54, 48.4375, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 97.91667, 1
16.13, 15.75, 39.81, 54.12, 98.33333, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 12.03125, 8
16.5, 16.13, 11.66, 15.85, 41.5625, 7
16.5, 16.13, 15.85, 21.54, 65.0, 6
16.5, 16.13, 21.54, 29.29, 98.125, 4
16.5, 16.13, 29.29, 39.81, 96.875, 4
16.5, 16.13, 39.81, 54.12, 65.27778, 3
16.5, 16.13, 54.12, 73.56, 66.25, 3
16.5, 16.13, 73.56, 100.0, 39.5, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 27.72321, 7
16.88, 16.5, 11.66, 15.85, 55.29762, 7
16.88, 16.5, 15.85, 21.54, 97.91667, 5
16.88, 16.5, 21.54, 29.29, 96.875, 5
16.88, 16.5, 29.29, 39.81, 98.33333, 5
16.88, 16.5, 39.81, 54.12, 97.08333, 5
16.88, 16.5, 54.12, 73.56, 73.82812, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 24.11458, 4
17.26, 16.88, 8.58, 11.66, 68.86161, 7
17.26, 16.88, 11.66, 15.85, 96.04167, 4
17.26, 16.88, 15.85, 21.54, 97.29167, 4
17.26, 16.88, 21.54, 29.29, 97.03125, 4
17.26, 16.88, 29.29, 39.81, 97.29167, 9
17.26, 16.88, 39.81, 54.12, 78.0, 5
17.26, 16.88, 54.12, 73.56, 80.46875, 6
17.26, 16.88, 73.56, 100.0, 23.95833, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 8.62689, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 79.94792, 6
17.63, 17.26, 11.66, 15.85, 97.08333, 4
17.63, 17.26, 15.85, 21.54, 98.4375, 12
17.63, 17.26, 21.54, 29.29, 98.59375, 5
17.63, 17.26, 29.29, 39.81, 97.5, 5
17.63, 17.26, 39.81, 54.12, 47.70833, 8
17.63, 17.26, 54.12, 73.56, 13.57143, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 15.79861, 6
18.01, 17.63, 6.31, 8.58, 79.94792, 6
18.01, 17.63, 8.58, 11.66, 84.62891, 8
18.01, 17.63, 11.66, 15.85, 96.35417, 5
18.01, 17.63, 15.85, 21.54, 96.5625, 9
18.01, 17.63, 21.54, 29.29, 97.1875, 10
18.01, 17.63, 29.29, 39.81, 48.75, 4
18.01, 17.63, 39.81, 54.12, 41.07143, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 95.20833, 8
18.39, 18.01, 8.58, 11.66, 97.5, 5
18.39, 18.01, 11.66, 15.85, 73.28125, 8
18.39, 18.01, 15.85, 21.54, 75.83333, 5
18.39, 18.01, 21.54, 29.29, 78.0, 10
18.39, 18.01, 29.29, 39.81, 79.51389, 6
18.39, 18.01, 39.81, 54.12, 10.13889, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 43.98438, 6
18.76, 18.39, 4.64, 6.31, 54.82143, 7
18.76, 18.39, 6.31, 8.58, 84.3099, 8
18.76, 18.39, 8.58, 11.66, 97.5, 11
18.76, 18.39, 11.66, 15.85, 79.77431, 6
18.76, 18.39, 15.85, 21.54, 82.41071, 7
18.76, 18.39, 21.54, 29.29, 81.70673, 13
18.76, 18.39, 29.29, 39.81, 58.0, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 35.28646, 12
19.14, 18.76, 4.64, 6.31, 79.16667, 12
19.14, 18.76, 6.31, 8.58, 84.1276, 8
19.14, 18.76, 8.58, 11.66, 95.46875, 8
19.14, 18.76, 11.66, 15.85, 95.72917, 8
19.14, 18.76, 15.85, 21.54, 63.47222, 9
19.14, 18.76, 21.54, 29.29, 47.5, 8
19.14, 18.76, 29.29, 39.81, 25.3125, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 12.4375, 5
19.52, 19.14, 3.41, 4.64, 45.85227, 11
19.52, 19.14, 4.64, 6.31, 93.33333, 9
19.52, 19.14, 6.31, 8.58, 94.79167, 16
19.52, 19.14, 8.58, 11.66, 96.40625, 14
19.52, 19.14, 11.66, 15.85, 96.25, 7
19.52, 19.14, 15.85, 21.54, 47.13542, 12
19.52, 19.14, 21.54, 29.29, 54.78516, 8
19.52, 19.14, 29.29, 39.81, 15.98958, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 8.40774, 7
19.89, 19.52, 3.41, 4.64, 45.68182, 11
19.89, 19.52, 4.64, 6.31, 91.14583, 11
19.89, 19.52, 6.31, 8.58, 93.95833, 6
19.89, 19.52, 8.58, 11.66, 92.1875, 8
19.89, 19.52, 11.66, 15.85, 85.98485, 11
19.89, 19.52, 15.85, 21.54, 21.45833, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 3.10185, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 23.0, 10
20.27, 19.89, 3.41, 4.64, 62.63021, 6
20.27, 19.89, 4.64, 6.31, 88.64583, 11
20.27, 19.89, 6.31, 8.58, 91.25, 6
20.27, 19.89, 8.58, 11.66, 79.02344, 8
20.27, 19.89, 11.66, 15.85, 72.32143, 14
20.27, 19.89, 15.85, 21.54, 20.83333, 11
20.27, 19.89, 21.54, 29.29, 2.13942, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 19.08333, 5
20.65, 20.27, 3.41, 4.64, 53.90625, 4
20.65, 20.27, 4.64, 6.31, 66.31944, 6
20.65, 20.27, 6.31, 8.58, 75.52083, 8
20.65, 20.27, 8.58, 11.66, 59.76562, 6
20.65, 20.27, 11.66, 15.85, 25.3125, 6
20.65, 20.27, 15.85, 21.54, 4.15179, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 19.0, 5
21.02, 20.65, 3.41, 4.64, 38.83929, 7
21.02, 20.65, 4.64, 6.31, 56.66667, 3
