mag_low, mag_high, arc_down, arc_up, eff
15.75, 16.12667, 2.51189, 3.41455, 0.0
15.75, 16.12667, 3.41455, 4.64159, Nan 
15.75, 16.12667, 4.64159, 6.30957, Nan 
15.75, 16.12667, 6.30957, 8.57696, Nan 
15.75, 16.12667, 8.57696, 11.65914, Nan 
15.75, 16.12667, 11.65914, 15.84893, 47.84722
15.75, 16.12667, 15.84893, 21.54435, 48.26389
15.75, 16.12667, 21.54435, 29.28645, Nan 
15.75, 16.12667, 29.28645, 39.81072, 97.91667
15.75, 16.12667, 39.81072, 54.11695, 98.95833
15.75, 16.12667, 54.11695, 73.56423, Nan 
15.75, 16.12667, 73.56423, 100.0, Nan 
16.12667, 16.50333, 2.51189, 3.41455, Nan 
16.12667, 16.50333, 3.41455, 4.64159, 0.0
16.12667, 16.50333, 4.64159, 6.30957, Nan 
16.12667, 16.50333, 6.30957, 8.57696, 0.0
16.12667, 16.50333, 8.57696, 11.65914, 11.74479
16.12667, 16.50333, 11.65914, 15.84893, 41.54762
16.12667, 16.50333, 15.84893, 21.54435, 65.18519
16.12667, 16.50333, 21.54435, 29.28645, 98.125
16.12667, 16.50333, 29.28645, 39.81072, 97.91667
16.12667, 16.50333, 39.81072, 54.11695, 64.35185
16.12667, 16.50333, 54.11695, 73.56423, 65.97222
16.12667, 16.50333, 73.56423, 100.0, 39.44444
16.50333, 16.88, 2.51189, 3.41455, 0.0
16.50333, 16.88, 3.41455, 4.64159, 0.0
16.50333, 16.88, 4.64159, 6.30957, Nan 
16.50333, 16.88, 6.30957, 8.57696, 0.0
16.50333, 16.88, 8.57696, 11.65914, 26.72619
16.50333, 16.88, 11.65914, 15.84893, 54.68254
16.50333, 16.88, 15.84893, 21.54435, 96.80556
16.50333, 16.88, 21.54435, 29.28645, 96.875
16.50333, 16.88, 29.28645, 39.81072, 98.61111
16.50333, 16.88, 39.81072, 54.11695, 98.95833
16.50333, 16.88, 54.11695, 73.56423, 73.4375
